order_id,customer_id,order_date,channel,status,items,amount
10001,30,2024-10-20,store,pending,2,64.06
10002,189,2024-04-14,web,completed,2,242.63
10003,103,2024-11-25,web,pending,2,21.58
10004,212,2024-01-02,mobile,completed,2,155.31
10005,161,2024-02-21,web,completed,1,47.4
10006,156,2024-01-19,mobile,completed,2,47.98
10007,54,2024-12-20,mobile,completed,2,290.27
10008,9,2024-03-20,web,completed,6,144.12
10009,201,2024-10-06,web,completed,5,1249.32
10010,72,2024-08-19,mobile,completed,2,98.21
10011,16,2024-02-26,web,pending,2,28.66
10012,160,2024-10-05,web,completed,1,36.12
10013,55,2024-04-06,mobile,completed,3,186.41
10014,47,2024-09-10,mobile,completed,3,52.61
10015,17,2024-07-11,store,completed,3,50.2
10016,133,2024-06-09,mobile,completed,1,22.73
10017,17,2024-04-15,web,completed,1,25.45
10018,114,2024-12-25,mobile,completed,5,67.04
10019,73,2024-01-26,web,completed,6,266.62
10020,191,2024-05-05,web,completed,6,174.18
10021,101,2024-05-11,mobile,completed,2,188.01
10022,151,2024-04-10,web,pending,2,35.54
10023,75,2024-01-24,store,completed,2,34.18
10024,149,2024-10-14,web,completed,1,40.97
10025,145,2024-10-08,web,completed,1,86.2
10026,17,2024-10-27,web,completed,2,21.49
10027,2,2024-09-07,mobile,completed,1,26.27
10028,73,2024-11-09,mobile,completed,2,143.35
10029,39,2024-09-02,web,completed,1,345.01
10030,32,2024-07-21,web,completed,2,67.21
10031,34,2024-01-25,web,completed,2,52.73
10032,17,2024-08-02,web,cancelled,2,17.27
10033,98,2024-09-27,web,completed,2,47.99
10034,182,2024-02-08,web,completed,2,100.88
10035,56,2024-05-04,web,completed,1,81.44
10036,10,2024-11-03,mobile,completed,2,92.05
10037,19,2024-02-13,web,completed,3,103.4
10038,135,2024-10-11,web,completed,2,33.19
10039,175,2024-10-23,web,completed,3,25.92
10040,65,2024-01-21,web,pending,3,32.15
10041,117,2024-04-15,mobile,completed,2,80.32
10042,3,2024-11-03,mobile,pending,1,26.23
10043,198,2024-11-01,web,completed,3,108.69
10044,211,2024-07-09,mobile,completed,4,450.51
10045,2,2024-07-10,web,completed,2,54.1
10046,87,2024-05-21,store,completed,1,25.67
10047,204,2024-10-04,web,completed,2,446.17
10048,184,2024-02-25,mobile,completed,2,51.82
10049,39,2024-02-18,web,cancelled,2,239.17
10050,216,2024-12-03,mobile,completed,1,23.56
10051,193,2024-06-21,mobile,completed,2,51.84
10052,58,2024-06-27,mobile,completed,2,103.94
10053,214,2024-11-17,web,completed,2,30.58
10054,127,2024-08-06,mobile,completed,2,247.08
10055,184,2024-11-03,web,completed,1,24.2
10056,110,2024-03-02,web,completed,4,394.83
10057,47,2024-04-28,store,completed,2,73.4
10058,38,2024-11-28,web,completed,4,62.5
10059,188,2024-03-12,web,completed,4,188.12
10060,87,2024-02-10,web,completed,2,44.02
10061,80,2024-08-11,web,completed,3,127.68
10062,176,2024-08-27,web,completed,2,68.57
10063,58,2024-03-03,web,completed,2,173.44
10064,6,2024-06-23,mobile,completed,8,99.87
10065,108,2024-08-07,web,completed,1,18.76
10066,211,2024-01-16,web,completed,2,264.25
10067,23,2024-02-18,web,completed,4,70.37
10068,184,2024-01-16,web,completed,7,70.61
10069,117,2024-06-26,web,refunded,1,56.15
10070,107,2024-02-06,mobile,completed,2,27.31
10071,52,2024-10-15,web,completed,3,49.97
10072,143,2024-06-21,web,completed,1,32.08
10073,76,2024-11-17,mobile,completed,2,199.76
10074,117,2024-12-20,mobile,completed,2,69.89
10075,90,2024-06-18,mobile,completed,4,455.04
10076,25,2024-03-05,web,completed,4,179.5
10077,71,2024-12-02,web,completed,3,89.67
10078,74,2024-03-10,web,completed,2,207.88
10079,162,2024-03-15,web,completed,2,378.71
10080,154,2024-11-17,mobile,completed,1,87.85
10081,205,2024-06-27,web,completed,2,76.45
10082,209,2024-09-07,web,completed,2,45.38
10083,18,2024-01-28,web,completed,2,33.78
10084,123,2024-06-19,mobile,completed,3,174.07
10085,2,2024-11-23,web,completed,2,40.34
10086,212,2024-06-22,web,completed,2,506.4
10087,37,2024-02-06,web,completed,4,251.39
10088,46,2024-05-20,mobile,cancelled,2,498.88
10089,53,2024-09-23,web,completed,2,30.8
10090,173,2024-12-25,web,completed,5,65.07
10091,153,2024-11-12,web,completed,3,27.92
10092,102,2024-12-16,web,completed,3,38.02
10093,167,2024-05-16,store,completed,2,30.67
10094,35,2024-12-27,web,completed,3,37.17
10095,218,2024-02-03,web,completed,1,149.81
10096,217,2024-07-06,web,completed,3,82.3
10097,59,2024-08-01,web,completed,1,18.37
10098,114,2024-08-10,web,cancelled,6,88.42
10099,50,2024-04-27,web,completed,2,27.44
10100,88,2024-08-15,web,completed,2,171.81
10101,161,2024-11-04,web,completed,2,288.23
10102,28,2024-09-03,web,completed,3,43.67
10103,25,2024-04-25,web,completed,3,105.56
10104,196,2024-02-07,web,completed,1,123.41
10105,107,2024-07-25,web,pending,3,20.57
10106,127,2024-12-25,mobile,completed,2,469.27
10107,62,2024-04-14,mobile,completed,2,37.23
10108,153,2024-01-07,store,completed,4,24.9
10109,129,2024-09-21,web,completed,1,69.73
10110,45,2024-07-20,web,completed,1,181.55
10111,70,2024-05-05,web,cancelled,1,19.11
10112,42,2024-11-22,web,pending,3,29.76
10113,68,2024-04-25,web,completed,3,93.04
10114,32,2024-01-21,web,completed,4,178.1
10115,190,2024-07-23,web,completed,3,62.78
10116,96,2024-06-17,mobile,completed,1,35.18
10117,34,2024-08-05,web,completed,1,18.68
10118,78,2024-04-09,store,completed,3,256.63
10119,41,2024-03-10,web,cancelled,3,263.57
10120,209,2024-02-01,web,completed,3,32.05
10121,8,2024-11-17,web,completed,1,32.92
10122,162,2024-02-25,web,completed,2,158.48
10123,20,2024-04-24,mobile,pending,2,14.65
10124,88,2024-06-17,web,completed,1,89.82
10125,161,2024-11-01,web,completed,2,65.1
10126,181,2024-07-27,web,completed,1,27.79
10127,1,2024-05-06,web,completed,4,50.83
10128,96,2024-08-26,web,pending,1,88.83
10129,43,2024-11-14,web,completed,2,499.66
10130,8,2024-11-27,web,completed,1,20.0
10131,113,2024-06-24,mobile,completed,2,31.91
10132,50,2024-02-11,mobile,refunded,1,17.92
10133,44,2024-10-09,web,completed,1,76.78
10134,179,2024-05-23,mobile,completed,2,133.27
10135,146,2024-11-20,mobile,completed,1,26.02
10136,152,2024-12-10,web,completed,1,150.88
10137,99,2024-06-16,mobile,completed,2,24.66
10138,211,2024-11-07,web,completed,3,345.24
10139,128,2024-03-12,web,completed,3,121.6
10140,205,2024-01-20,store,completed,3,206.13
10141,33,2024-04-07,web,completed,1,12.3
10142,146,2024-12-28,mobile,completed,2,21.29
10143,49,2024-08-07,web,completed,1,42.84
10144,90,2024-11-13,web,completed,2,269.55
10145,156,2024-01-11,web,completed,3,21.17
10146,90,2024-03-11,web,completed,2,381.87
10147,64,2024-12-16,web,cancelled,2,90.34
10148,29,2024-02-18,store,completed,2,91.91
